StudentRef,Historical_GPA_mean,Historical_GPA_std,Historical_GPA_min,Historical_GPA_max,Historical_CGPA_mean,Historical_CGPA_std,Historical_CGPA_min,Historical_CGPA_max,Historical_CGPA_last,Historical_courses_taken,Historical_credits,Historical_A_pct,Historical_B_pct,Historical_C_pct,Historical_Fail_pct,GPA_Slope,Semesters_completed,Semester_to_predict,Final_CGPA,On_Probation,Gender,Nationality,Offer type,Financial_Aid_Need,Admission Year,International
ANON_000727,3.0074999999999994,0.2199730844779352,2.7,3.2,3.0200000000000005,0.0251312344975017,3.0,3.06,3.06,20,18.0,5.0,75.0,20.0,0.0,1.5037500000000004,1.0,2.0,3.01,0,M,Country0,Enrolled,Yes,2019-2020,0
ANON_000907,2.646666666666667,0.2744258074772192,2.35,3.0,2.7433333333333336,0.1674031347490527,2.6,3.0,2.6,15,13.5,6.666666666666667,40.0,40.0,13.333333333333334,-0.1100000000000005,2.0,3.0,2.5,0,M,Country1,Enrolled,Yes,2023-2024,1
ANON_001547,2.4122580645161285,0.6209922687517633,1.56,3.38,2.829032258064516,0.336871437779159,2.47,3.38,2.94,31,29.0,3.225806451612903,41.935483870967744,35.483870967741936,19.35483870967742,0.0820512820512815,2.0,3.0,2.49,0,M,Country0,Enrolled,Yes,2021-2022,0
ANON_000240,3.38,0.0,3.38,3.38,3.38,0.0,3.38,3.38,3.38,4,4.0,50.0,25.0,25.0,0.0,0.8449999999999996,2.0,3.0,2.79,0,F,Country0,Enrolled,No,2024-2025,0
ANON_000686,2.655555555555556,0.2554485628340239,2.17,3.06,2.753333333333334,0.1448151531139907,2.64,3.06,2.67,36,33.0,0.0,44.44444444444444,47.22222222222222,8.333333333333332,0.3923809523809521,2.0,3.0,2.72,0,F,Country0,Enrolled,Yes,2020-2021,0
ANON_001541,3.25,0.0,3.25,3.25,3.25,0.0,3.25,3.25,3.25,4,4.0,25.0,50.0,25.0,0.0,0.8124999999999998,2.0,3.0,3.12,0,M,Country0,Enrolled,No,2024-2025,0
ANON_000480,3.505483870967742,0.1774981447729792,3.28,3.75,3.416774193548387,0.0695407361083749,3.28,3.48,3.28,31,29.5,22.58064516129032,77.41935483870968,0.0,0.0,-0.1720512820512823,2.0,3.0,3.49,0,F,Country0,Enrolled,Yes,2020-2021,0
ANON_000668,1.895,0.417580751724174,1.5,2.67,1.902,0.2188871374644212,1.5,2.12,1.91,20,19.0,0.0,15.0,40.0,45.0,-0.7879120879120879,2.0,3.0,1.88,1,F,Country0,Enrolled,No,2022-2023,0
ANON_001652,3.6345454545454543,0.2681102700067957,3.13,3.88,3.5345454545454533,0.2892144907244823,3.13,3.88,3.88,22,21.0,50.0,45.45454545454545,4.545454545454546,0.0,-0.1615384615384625,2.0,3.0,3.26,0,F,Country0,Enrolled,Yes,2023-2024,0
ANON_001025,2.13,0.0,2.13,2.13,2.13,0.0,2.13,2.13,2.13,4,4.0,0.0,25.0,25.0,50.0,0.5324999999999998,2.0,3.0,1.79,1,F,Country26,Enrolled,Yes,2024-2025,1
ANON_001556,3.72,0.1837248995364466,3.5,4.0,3.6725,0.0808822321889732,3.5,3.75,3.7,32,30.5,65.625,34.375,0.0,0.0,-0.1828571428571423,2.0,3.0,3.69,0,M,Country0,Enrolled,Yes,2020-2021,0
ANON_000973,2.75,0.0,2.75,2.75,2.75,0.0,2.75,2.75,2.75,4,4.0,0.0,50.0,50.0,0.0,0.6874999999999998,2.0,3.0,2.47,0,M,Country0,Enrolled,Yes,2024-2025,0
ANON_000134,2.3941935483870966,0.2718795590397629,1.89,2.72,2.426129032258064,0.0792328811943979,2.31,2.53,2.33,31,29.5,0.0,45.16129032258064,29.03225806451613,25.806451612903224,-0.3968376068376072,2.0,3.0,2.51,0,M,Country0,Enrolled,No,2020-2021,0
ANON_002019,3.6602941176470583,0.2328282667171904,3.33,4.0,3.676764705882353,0.0675421569022027,3.56,3.78,3.66,34,32.0,47.05882352941176,50.0,2.941176470588235,0.0,-0.2739285714285712,2.0,3.0,3.68,0,M,Country0,Enrolled,Yes,2020-2021,0
ANON_001607,3.546470588235294,0.2291867354686893,3.22,3.89,3.486764705882353,0.09616023837247,3.25,3.59,3.54,34,32.5,41.17647058823529,52.94117647058824,5.88235294117647,0.0,0.1964705882352953,2.0,3.0,3.57,0,F,Country5,Enrolled,Yes,2019-2020,1
